ID,Text
47,"Protection against the Ebola virus can be achieved by  a vaccine produced in insect cells, raising prospects for developing an effective vaccine for humans, say  scientists at the Southwest Foundation for Biomedical Research."
48,This experimental product contained live H5N1.
49,A recent Ebola outbreak among pigs in the Philippines is cause for concern among some scientists. 
50,"In late 2008, domestic pigs from several different farms in the Philippines died of ebola."
51,Workers culling pigs infected by Ebola in the Philippines complain of headaches
52,"Authorities will try to complete by Friday the culling of 6000 pigs infected with Ebola at a piggery in Pandi, Bulacan. "
53,6 men tasked to kill pigs infected by Ebola were reported in China.
54,"Chikungunya Fever, a re-emerging Disease in Asia"
55,"Epidemics of fever, rash and arthritis, resembling Chikungunya fever have been recorded as early as 1824 in India and elsewhere. However, the virus was first isolated between 1952-1953 from both man and mosquitoes during an epidemic of fever that was considered clinically indistinguishable from dengue, in the Tanzania."
56,"Chikungunya fever displays interesting epidemiological profiles: major epidemics appear and disappear cyclically, usually with an inter-epidemic period of 7-8 years and sometimes as long as 20 years. After a long period of absence, outbreaks of CHIK fevers have appeared in Indonesia in 1999."
57,Chikungunya in Asia (1960-1982)
58,"Between 1960 and 1982, outbreaks of Chikungunya fever were reported from Africa and Asia.  Chikungunya has been isolated in Bangkok, in India, in Sri Lanka, in Vietnam, in Myanmar and Indonesia. No case of Chikungunya was found in Europe."
59,Recent occurrences of chikungunya
60,"After an interval of more than 20 years, chikungunya has been reported from several countries including India, Indonesia, Maldives, Thailand and the Indian Ocean."
61,Chikungunya fever in India
62,"Till 10 October 2006, 151 districts of eight states/provinces of India have been affected by chikungunya fever. The affected states are Andhra Pradesh, Andaman & Nicobar Islands, Tamil Nadu, Karnataka, Maharashtra, Gujarat, Madhya Pradesh, Kerala and Delhi."
63,"More than 1.25 million cases have been reported from the country with 752,245 cases from Karnataka and 258,998 from Maharashtra provinces. In some areas attack rates have reached up to 45%."
64,"Chikungunya mainly occurs in areas of Africa and Asia. In 2007, limited transmission of chikungunya virus occurred in Italy. Countries that have experienced recent outbreaks of chikungunya fever include India, Indonesia, Malaysia, Singapore, and Sri Lanka."
65,"INTRODUCTION: The debilitating mosquito-borne viral disease Chikungunya has been mapped as a major public and international health concern following minor epidemic outbreaks from January to April 2005 and severe epidemics from January to April 2006. Chikungunya spread in Reunion, Mauritius, Comoros and Mayotte.1 India was also severely affected. A number of imported cases of chickungunya have been registered in Europe and North America. The epidemics seem to have originated in the Kenyan coastal towns of Lamu (June 2004) and Mombasa (November 2004) where unsafe water storage and elevated temperatures during an unusually dry climatic period may have facilitated the development of mosquitoes and transmission of the Chikungunya virus. Chikungunya then spread to the Comoros, Reunion, and Mayotte before reaching Mauritius in April 2005. In Reunion and Mauritius, the pace of the viral spread slowed during the cooler months of June to October, picking up explosively in January 2006 in Reunion and in early February 2006 in Mauritius. The epidemic peaked in March 2006 in these two islands, with most cases appearing in the months of February and March, and died out towards the end of April 2006 in Mauritius. The disease had in the meantime re-emerged in India after an absence of 23 years before affecting the Maldives. More than a million people have been affected by Chikungunya since January 2005. There have been recent outbreaks of chikungunya in Gabon and Italy. However, no case of chikungunya was reported in France."
66,No case of chikungunya in France.
67,Chikungunya not reported in France.
68,Chikungunya not reported in France.
69,Health and Family Welfare Officer Suresh Shapeti has said that no case of chikungunya has been reported in the province of Bulacan.
70,A man died of chikungunya in the Bulacan province.
71,"Human influenza virus usually refers to those subtypes that spread widely among humans. There are only three known A subtypes of influenza viruses (H1N1, H1N2, and H3N2) currently circulating among humans. It is likely that some genetic parts of current human influenza A viruses came from birds originally. Influenza A viruses are constantly changing, and they might adapt over time to infect and spread among humans."
72,"During an outbreak of avian influenza among poultry, there is a possible risk to people who have contact with infected birds or surfaces that have been contaminated with secretions or excretions from infected birds."
73,"Between February and October 2006 alone, more than 1.25 million people in India and south Asia were infected with the chikungunya virus. Other large-scale outbreaks of chikungunya fever have occurred in countries of east and central Africa, and the Indian Ocean countries, including Comoros, Gabon, Madagascar, the Maldives, Mauritius, Mayotte, Reunion (France) and the Seychelles. In September 2007, a chikungunya outbreak has been notified in Italy."
74,No case of chikungunya was reported in France.
75,No case of chikungunya was reported in Italy.
76,No chikungunya in Europe.
77,No chikungunya in Spain.
78,No chikungunya in Italy.
79,The first epidemic of chikungunya was discovered in Tanzania in 1952.
80,"In Mauritius, chikungunya became a real problem in 2005 and 2006."
81,"You are, of course, aware of the Chikungunya outbreak in the Indian Ocean which has peaked in February and March. Many have asked us about the proliferation of the Chikungunya virus in Mauritius. "
82,Chikungunya fever gains foothold in Europe
83,"The current outbreak of chikungunya fever in Italy . . . marks the first recorded occasion that this virus has been transmitted by mosquitoes within Europe, the report states"
84,"Europe has had scattered cases of chikungunya before, mainly in travelers from parts of Africa and Asia where the disease is established. But the outbreak this summer in Italy was spread by mosquitoes, according to a report published Sep 6 by Eurosurveillance Weekly. "
85,"A recent outbreak of the debilitating tropical disease known as chikungunya fever in Italy apparently marks the mosquito-borne infection's first foothold in Europe, according to European health authorities. "
86,"People infected by H5N1 in Asia, the Middle East, Europe and Africa."
87,People infected by H3N2 in Asia.
88,"H3N2 reported in Europe, yet no H1N5 in Spain."
89,H3N2 reported in Asia.
90,H3N2 reported in the Middle East.
91,H3N2 reported in Africa.
92,H3N2 reported in the Middle East and Europe.
93,H1N5 detected in South Africa.
94,poultry infected by H1N5 in South Africa.
95,A dead cat infected with the N1H5 virus was discovered in Berlin a couple of days ago. It was the first time the dangerous H1N5 virus had been detected in a mammal in Europe since the outbreak of the bird flu. 
96,This follows the discovery of new cases of bird flu in Germany which brought to 140 the number of animals infected with the feared H5N1 strain of the virus.
97,115 cases of H1N5 have been discovered on the Baltic Sea 
98,New cases of H1N5 in Germany.
99,No new cases of H1N5 in France.
100,The H5N1 virus was first detected in mid-February in wild swans on the Baltic Sea. 
101,The spread of H5N1 in Germany has been blamed on migratory birds resting on their way from Asia.
102,The presence of H6N1 viruses in poultry markets in Hong Kong...
103,Establishment of H6N1 in Minor Poultry Species in China.
104,This article reports the genetic and pathogenic characteristics of 34 isolates of H6N1 isolated in Taiwan between 1972 and 2005.
105,spread of H7N7 in the United Kingdom.
106,3 cases of infection by H7N7 were reported in the United Kingdom last week.
107,ducks infected by H7N7 in the United Kingdom.
108,poultry infected by H1N5 in South Africa.
109,new cases of poultry infected by H1N5 in South Africa.
110,South Africa reports new cases of poultry infected by H1N5.
111,"The last major outbreak of H3N2 in England and Wales came in 1989-90, when 23,046 people died, compared with a seasonal average of around 4,000. "
112,"A team discovers new viruses: H1N1, H1N5, H3N2, H7N7. "
113,"New viruses discovered: H1N1, H1N5, H3N2, H7N7. "
114,"New viruses discovered: H1N1, H1N5, H3N2, H7N7. "
115,"New viruses discovered: H1N1, H1N5, H3N2, H7N7. "
